,Unnamed: 0.1,Unnamed: 0,assists,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,gamesPlayed,goals,height,isInHallOfFameYn,lastName,nationalityCode,playerId,points,positionCode,shootsCatches,skaterFullName,weight
17,17,17,3,Quebec City,CAN,1994-03-25,QC,OTT,Ottawa Senators,,,,20172018,58,2,77,N,MacDermid,CAN,8477073,5,L,L,Kurtis MacDermid,233
18,18,18,0,Syracuse,USA,1996-03-06,NY,,,145.0,5.0,2014.0,20192020,4,0,77,N,Angello,USA,8478074,0,C,R,Anthony Angello,210
19,19,19,41,Kitchener,CAN,1993-03-15,ON,WPG,Winnipeg Jets,7.0,1.0,2011.0,20112012,67,29,75,N,Scheifele,CAN,8476460,70,C,R,Mark Scheifele,207
20,20,20,0,Yekaterinburg,RUS,2000-06-07,,,,61.0,2.0,2020.0,20212022,8,0,75,N,Sokolov,RUS,8481102,0,L,R,Egor Sokolov,222
21,21,21,21,Sundbyberg,SWE,1993-05-05,,PIT,Pittsburgh Penguins,30.0,1.0,2011.0,20122013,70,20,73,N,Rakell,SWE,8476483,41,R,R,Rickard Rakell,194
22,22,22,3,Vancouver,CAN,1994-03-09,BC,TOR,Toronto Maple Leafs,5.0,1.0,2012.0,20162017,7,3,73,N,Rielly,CAN,8476853,6,D,L,Morgan Rielly,219
23,23,23,5,Chicago,USA,1997-04-15,IL,,,32.0,2.0,2015.0,20162017,53,5,74,N,Fischer,USA,8478432,10,R,R,Christian Fischer,212
24,24,24,29,Brantford,CAN,1994-04-11,ON,SEA,Seattle Kraken,55.0,2.0,2014.0,20162017,91,11,72,N,Montour,CAN,8477986,40,D,R,Brandon Montour,199
25,25,25,13,Moscow,RUS,1994-04-06,,DAL,Dallas Stars,,,,20182019,77,2,74,N,Lyubushkin,RUS,8480950,15,D,R,Ilya Lyubushkin,206
26,26,26,5,Val-d'Or,CAN,1997-04-28,QC,VGK,Vegas Golden Knights,52.0,2.0,2015.0,20182019,66,2,75,N,Lauzon,CAN,8478468,7,D,L,Jeremy Lauzon,225
27,27,27,0,Kingston,CAN,1999-08-16,ON,WPG,Winnipeg Jets,11.0,1.0,2017.0,20212022,2,0,75,N,Vilardi,CAN,8480014,0,C,R,Gabriel Vilardi,216
28,28,28,19,Ithaca,USA,1984-11-04,NY,,,13.0,1.0,2003.0,20032004,64,9,72,N,Brown,USA,8470606,28,R,R,Dustin Brown,205
29,29,29,2,Minsk,BLR,2001-05-26,,DAL,Dallas Stars,52.0,2.0,2019.0,20212022,32,1,74,N,Kolyachonok,BLR,8481609,3,D,L,Vladislav Kolyachonok,198
30,30,30,27,Pointe-Claire,CAN,1995-08-26,QC,NYI,New York Islanders,80.0,3.0,2013.0,20142015,74,31,72,N,Duclair,CAN,8477407,58,L,L,Anthony Duclair,198
31,31,31,1,Naples,USA,1991-11-23,FL,PHI,Philadelphia Flyers,,,,20182019,6,1,74,N,Hathaway,USA,8477903,2,R,R,Garnet Hathaway,212
32,32,32,13,Burlington,CAN,1994-05-07,ON,MTL,Montréal Canadiens,95.0,4.0,2012.0,20142015,69,19,75,N,Anderson,CAN,8476981,32,R,R,Josh Anderson,226
33,33,33,10,Ostersund,SWE,1997-12-20,,,,42.0,2.0,2016.0,20212022,61,12,71,N,Dahlen,SWE,8479373,22,C,L,Jonathan Dahlen,180
34,34,34,6,Portland,USA,1998-01-22,OR,,,102.0,4.0,2018.0,20212022,50,5,76,N,Weatherby,USA,8481061,11,C,L,Jasper Weatherby,222
35,35,35,2,Tampa,USA,1998-10-19,FL,,,91.0,3.0,2018.0,20212022,10,2,72,N,Smith,USA,8480979,4,C,R,Nate Smith,177
36,36,36,37,Pembroke Pines,USA,1993-04-20,FL,CAR,Carolina Hurricanes,78.0,3.0,2012.0,20142015,82,14,71,N,Gostisbehere,USA,8476906,51,D,L,Shayne Gostisbehere,183
37,37,37,5,Biel,CHE,1992-11-13,,,,103.0,4.0,2011.0,20212022,24,2,72,N,Hofmann,CHE,8476345,7,C,L,Gregory Hofmann,194
38,38,38,3,Oulu,FIN,1992-02-26,,ANA,Anaheim Ducks,9.0,1.0,2010.0,20132014,4,0,70,N,Granlund,FIN,8475798,3,C,L,Mikael Granlund,193
39,39,39,19,Saskatoon,CAN,1998-08-27,SK,TBL,Tampa Bay Lightning,159.0,6.0,2016.0,20192020,77,25,74,N,Hagel,CAN,8479542,44,L,L,Brandon Hagel,186
40,40,40,2,Chatham,CAN,1990-06-07,ON,,,114.0,4.0,2008.0,20142015,7,0,74,N,Brodie,CAN,8474673,2,D,L,TJ Brodie,187
41,41,41,7,Woodbridge,CAN,1998-06-07,ON,,,100.0,4.0,2016.0,20172018,37,0,69,N,Mete,CAN,8479376,7,D,L,Victor Mete,187
42,42,42,23,Ottawa,CAN,1993-12-21,ON,LAK,Los Angeles Kings,15.0,1.0,2012.0,20132014,78,5,75,N,Ceci,CAN,8476879,28,D,R,Cody Ceci,210
43,43,43,36,London,CAN,1997-03-11,ON,PHI,Philadelphia Flyers,24.0,1.0,2015.0,20162017,79,16,70,N,Konecny,CAN,8478439,52,R,R,Travis Konecny,192
44,44,44,22,Ottawa,CAN,1997-04-02,ON,,,76.0,3.0,2016.0,20182019,66,15,71,N,Pitlick,CAN,8479514,37,C,L,Rem Pitlick,186
45,45,45,0,Slate Hill,USA,1999-06-04,NY,TBL,Tampa Bay Lightning,124.0,4.0,2019.0,20212022,9,1,70,N,Abruzzese,USA,8481720,1,C,L,Nicholas Abruzzese,178
46,46,46,0,Sault Ste. Marie,CAN,1997-01-02,ON,,,67.0,3.0,2015.0,20162017,2,0,71,N,Speers,CAN,8478480,0,C,R,Blake Speers,185
47,47,47,1,Elk River,USA,1998-04-14,MN,MIN,Minnesota Wild,,,,20202021,10,1,72,N,Kiersted,USA,8482641,2,D,L,Matt Kiersted,182
48,48,48,21,North Vancouver,CAN,1993-11-05,BC,VGK,Vegas Golden Knights,50.0,2.0,2012.0,20132014,79,7,73,N,Sissons,CAN,8476925,28,C,R,Colton Sissons,200
49,49,49,24,Chatham,CAN,1990-06-07,ON,,,114.0,4.0,2008.0,20102011,82,4,74,N,Brodie,CAN,8474673,28,D,L,TJ Brodie,187
50,50,50,4,Hamilton,CAN,1991-01-03,ON,SJS,San Jose Sharks,11.0,1.0,2009.0,20112012,4,1,70,N,Ellis,CAN,8475176,5,D,R,Ryan Ellis,180
51,51,51,13,Mississauga,CAN,1999-09-21,ON,BUF,Buffalo Sabres,40.0,2.0,2018.0,20202021,87,12,75,N,McLeod,CAN,8480802,25,C,L,Ryan McLeod,204
52,52,52,2,Kingston,CAN,1999-08-16,ON,WPG,Winnipeg Jets,11.0,1.0,2017.0,20192020,25,5,75,N,Vilardi,CAN,8480014,7,C,R,Gabriel Vilardi,216
53,53,53,1,Markham,CAN,1992-10-26,ON,,,65.0,3.0,2011.0,20162017,1,0,73,N,Cramarossa,CAN,8476390,1,C,L,Joseph Cramarossa,190
54,54,54,0,Sundsvall,SWE,2000-06-29,,PIT,Pittsburgh Penguins,58.0,2.0,2018.0,20212022,1,0,73,N,Hallander,SWE,8480842,0,C,L,Filip Hallander,203
55,55,55,35,Melville,CAN,1994-08-07,SK,CBJ,Columbus Blue Jackets,60.0,2.0,2012.0,20142015,80,11,74,N,Severson,CAN,8476923,46,D,R,Damon Severson,204
56,56,56,4,Pittsburgh,USA,1993-07-11,PA,NYR,New York Rangers,64.0,3.0,2011.0,20152016,14,6,71,N,Trocheck,USA,8476389,10,C,R,Vincent Trocheck,187
57,57,57,2,Bloomfield Hills,USA,1994-03-09,MI,VAN,Vancouver Canucks,67.0,3.0,2012.0,20182019,14,0,74,N,MacEachern,USA,8476907,2,L,L,Mackenzie MacEachern,193
58,58,58,41,Calgary,CAN,1991-11-14,AB,CAR,Carolina Hurricanes,1.0,1.0,2010.0,20102011,81,20,73,N,Hall,CAN,8475791,61,L,L,Taylor Hall,210
59,59,59,25,North Easton,USA,1997-05-21,MA,UTA,Utah Mammoth,154.0,6.0,2015.0,20192020,88,1,73,N,Marino,USA,8478507,26,D,R,John Marino,200
60,60,60,3,Brno,CZE,1997-02-21,,,,13.0,1.0,2015.0,20182019,10,0,73,N,Zboril,CZE,8478415,3,D,L,Jakub Zboril,199
61,61,61,15,Pisek,CZE,1990-07-29,,,,,,,20172018,76,3,75,N,Rutta,CZE,8480172,18,D,R,Jan Rutta,204
62,62,62,48,Halifax,CAN,1988-05-11,NS,FLA,Florida Panthers,71.0,3.0,2006.0,20092010,70,32,69,N,Marchand,CAN,8473419,80,L,L,Brad Marchand,180
63,63,63,2,Richmond,CAN,1994-04-07,BC,EDM,Edmonton Oilers,,,,20162017,29,1,70,N,Stecher,CAN,8479442,3,D,R,Troy Stecher,184
64,64,64,4,Winchester,CAN,1994-02-18,ON,,,10.0,1.0,2012.0,20142015,19,0,74,N,Koekkoek,CAN,8476886,4,D,L,Slater Koekkoek,193
65,65,65,20,Tonka Bay,USA,1992-01-30,MN,DET,Detroit Red Wings,54.0,2.0,2010.0,20172018,69,3,76,N,Holl,USA,8475718,23,D,R,Justin Holl,194
66,66,66,10,Villach,AUT,1988-12-01,,,,,,,20132014,83,9,73,N,Raffl,AUT,8477290,19,L,L,Michael Raffl,205
67,67,67,43,Helsinki,FIN,1994-09-11,,CHI,Chicago Blackhawks,18.0,1.0,2012.0,20132014,77,22,71,N,Teravainen,FIN,8476882,65,C,L,Teuvo Teravainen,191
68,68,68,10,Fergus,CAN,1994-02-02,ON,,,47.0,2.0,2012.0,20152016,64,12,72,N,McGinn,CAN,8476934,22,L,L,Brock McGinn,191
69,69,69,6,Toronto,CAN,1998-03-13,ON,TOR,Toronto Maple Leafs,160.0,6.0,2016.0,20212022,51,5,73,N,Pezzetta,CAN,8479543,11,L,L,Michael Pezzetta,222
70,70,70,6,Dearborn Heights,USA,1992-06-25,MI,NSH,Nashville Predators,,,,20142015,45,2,72,N,Oesterle,USA,8477851,8,D,L,Jordan Oesterle,181
71,71,71,6,Manly,AUS,2001-02-24,,OTT,Ottawa Senators,95.0,4.0,2019.0,20212022,27,2,71,N,Spence,CAN,8481606,8,D,R,Jordan Spence,188
72,72,72,1,Ann Arbor,USA,1989-02-21,MI,UTA,Utah Mammoth,18.0,1.0,2007.0,20112012,14,1,73,N,Cole,USA,8474013,2,D,L,Ian Cole,237
73,73,73,9,Chesterfield,USA,1997-12-04,MO,FLA,Florida Panthers,15.0,1.0,2016.0,20172018,82,13,72,N,Kunin,USA,8479316,22,C,R,Luke Kunin,197
74,74,74,0,Winnipeg,CAN,1995-04-22,MB,,,53.0,2.0,2013.0,20172018,2,0,73,N,Bowey,CAN,8477474,0,D,R,Madison Bowey,207
75,75,75,1,Le Blanc-Mesnil,FRA,1985-03-06,,,,,,,20152016,23,2,71,N,Bellemare,FRA,8477930,3,L,L,Pierre-Edouard Bellemare,198
76,76,76,22,Gavle,SWE,1994-11-21,,,,202.0,7.0,2013.0,20172018,71,13,70,N,Johnsson,SWE,8477341,35,L,L,Andreas Johnsson,195
77,77,77,12,Salem,USA,1994-11-09,MA,,,61.0,2.0,2013.0,20162017,80,9,76,N,Sanford,USA,8477482,21,L,L,Zachary Sanford,206
78,78,78,18,New Canaan,USA,1988-11-20,CT,,,22.0,1.0,2007.0,20082009,39,19,74,N,Pacioretty,USA,8474157,37,L,L,Max Pacioretty,217
79,79,79,24,Elkhorn,CAN,1996-03-29,MB,PHI,Philadelphia Flyers,17.0,1.0,2014.0,20172018,80,7,76,N,Sanheim,CAN,8477948,31,D,L,Travis Sanheim,222
80,80,80,21,Calgary,CAN,1998-10-30,AB,COL,Colorado Avalanche,4.0,1.0,2017.0,20182019,20,8,72,N,Makar,CAN,8480069,29,D,R,Cale Makar,187
81,81,81,6,Vitebsk,BLR,2001-01-06,,WSH,Washington Capitals,91.0,3.0,2019.0,20212022,33,3,78,N,Protas,BLR,8481656,9,C,L,Aliaksei Protas,250
82,82,82,15,Munsingen,CHE,1999-10-12,,SJS,San Jose Sharks,120.0,4.0,2018.0,20202021,67,6,72,N,Kurashev,CHE,8480798,21,C,L,Philipp Kurashev,190
83,83,83,10,Umea,SWE,1996-02-17,,PIT,Pittsburgh Penguins,139.0,5.0,2017.0,20172018,36,2,70,N,Aho,SWE,8480222,12,D,L,Sebastian Aho,180
84,84,84,24,St. John's,CAN,2001-01-28,NL,MTL,Montréal Canadiens,16.0,1.0,2019.0,20202021,83,13,71,N,Newhook,CAN,8481618,37,C,L,Alex Newhook,200
85,85,85,0,Stockholm,SWE,1994-09-21,,,,,,,20212022,7,1,70,N,Froden,SWE,8482834,1,R,R,Jesper Froden,179
86,86,86,2,Brandon,CAN,2000-04-11,MB,NJD,New Jersey Devils,53.0,2.0,2018.0,20202021,15,2,71,N,Addison,CAN,8480884,4,D,R,Calen Addison,173
87,87,87,21,Landskrona,SWE,1990-10-06,,MIN,Minnesota Wild,24.0,1.0,2009.0,20102011,75,10,73,N,Johansson,SWE,8475149,31,L,L,Marcus Johansson,203
88,88,88,38,Boston,USA,1997-01-25,MA,VGK,Vegas Golden Knights,5.0,1.0,2015.0,20152016,81,10,75,N,Hanifin,USA,8478396,48,D,L,Noah Hanifin,206
89,89,89,0,Pittsburgh,USA,1994-02-07,PA,,,167.0,6.0,2012.0,20162017,4,0,72,N,Barber,USA,8477003,0,R,R,Riley Barber,205
90,90,90,1,Saint Paul,USA,1999-12-10,MN,BOS,Boston Bruins,,,,20212022,3,0,72,N,Steeves,USA,8482634,1,C,L,Alex Steeves,199
91,91,91,9,Ajax,CAN,2001-01-15,ON,WSH,Washington Capitals,25.0,1.0,2019.0,20202021,68,9,72,N,McMichael,CAN,8481580,18,C,L,Connor McMichael,180
92,92,92,1,Chur,CHE,1992-09-08,,WPG,Winnipeg Jets,5.0,1.0,2010.0,20132014,14,4,74,N,Niederreiter,CHE,8475799,5,R,L,Nino Niederreiter,218
93,93,93,1,Tampere,FIN,1999-01-09,,FLA,Florida Panthers,40.0,2.0,2017.0,20202021,6,0,70,N,Heponiemi,FIN,8480037,1,C,L,Aleksi Heponiemi,155
94,94,94,2,Hanover,USA,1999-02-05,MA,NJD,New Jersey Devils,,,,20202021,21,0,74,N,Hardman,USA,8482635,2,L,L,Mike Hardman,205
95,95,95,20,Raahe,FIN,1992-04-13,,,,99.0,4.0,2010.0,20152016,75,2,72,N,Donskoi,FIN,8475820,22,R,R,Joonas Donskoi,185
96,96,96,6,Ottawa,CAN,1993-12-21,ON,LAK,Los Angeles Kings,15.0,1.0,2012.0,20142015,16,1,75,N,Ceci,CAN,8476879,7,D,R,Cody Ceci,210
97,97,97,18,Canton,USA,1997-02-16,NY,BUF,Buffalo Sabres,50.0,2.0,2015.0,20172018,68,11,78,N,Greenway,USA,8478413,29,L,L,Jordan Greenway,231
98,98,98,7,Vantaa,FIN,1996-03-23,,COL,Colorado Avalanche,,,,20192020,63,1,71,N,Kiviranta,FIN,8481641,8,L,L,Joel Kiviranta,185
99,99,99,2,Sainte-Anne-de-Bellevue,CAN,1996-12-04,QC,VGK,Vegas Golden Knights,192.0,7.0,2016.0,20202021,6,0,71,N,Davies,CAN,8479602,2,D,L,Jeremy Davies,190
100,100,100,24,Milford,USA,2001-04-05,MA,MIN,Minnesota Wild,12.0,1.0,2019.0,20212022,53,16,74,N,Boldy,USA,8481557,40,L,L,Matt Boldy,201
101,101,101,4,Kramfors,SWE,1996-09-13,,LAK,Los Angeles Kings,29.0,1.0,2014.0,20172018,7,2,74,N,Kempe,SWE,8477960,6,R,L,Adrian Kempe,200
102,102,102,12,London,CAN,1993-05-01,ON,WPG,Winnipeg Jets,179.0,6.0,2011.0,20152016,76,1,73,N,DeMelo,CAN,8476331,13,D,R,Dylan DeMelo,194
103,103,103,25,Roberval,CAN,1998-05-12,QC,COL,Colorado Avalanche,47.0,2.0,2016.0,20172018,74,6,70,N,Girard,CAN,8479398,31,D,L,Samuel Girard,170
104,104,104,5,Hilton Head Island,USA,1994-09-20,SC,MIN,Minnesota Wild,30.0,1.0,2013.0,20162017,6,0,72,N,Hartman,USA,8477451,5,R,R,Ryan Hartman,197
105,105,105,0,Mineola,USA,1998-04-13,NY,OTT,Ottawa Senators,87.0,3.0,2016.0,20202021,2,1,71,N,Pilon,CAN,8479516,1,C,R,Garrett Pilon,209
106,106,106,0,Barrie,CAN,2001-09-28,ON,WPG,Winnipeg Jets,141.0,5.0,2020.0,20212022,4,0,75,N,Phillips,CAN,8482192,0,D,L,Isaak Phillips,205
107,107,107,18,Laval,CAN,1997-02-09,QC,STL,St. Louis Blues,120.0,4.0,2015.0,20182019,69,12,73,N,Joseph,CAN,8478472,30,R,L,Mathieu Joseph,189
108,108,108,0,Kitchener,CAN,2001-04-25,ON,FLA,Florida Panthers,81.0,3.0,2019.0,20212022,3,0,75,N,Schwindt,CAN,8481655,0,R,R,Cole Schwindt,210
109,109,109,0,Canton,USA,1999-11-16,MI,NJD,New Jersey Devils,115.0,4.0,2018.0,20212022,7,2,74,N,Cotter,USA,8481032,2,L,L,Paul Cotter,213
110,110,110,3,Brooklyn,USA,1995-12-12,NY,,,171.0,6.0,2014.0,20162017,21,3,71,N,Labanc,USA,8478099,6,R,R,Kevin Labanc,185
111,111,111,2,Anchorage,USA,1984-10-05,AK,,,183.0,6.0,2003.0,20062007,33,1,73,N,Thompson,USA,8470775,3,C,L,Nate Thompson,205
112,112,112,12,Toronto,CAN,1998-09-17,ON,SJS,San Jose Sharks,49.0,2.0,2017.0,20192020,63,2,71,N,Ferraro,CAN,8479983,14,D,L,Mario Ferraro,200
113,113,113,2,Surrey,CAN,1997-04-02,BC,PHI,Philadelphia Flyers,26.0,1.0,2015.0,20172018,8,0,74,N,Juulsen,CAN,8478454,2,D,R,Noah Juulsen,201
114,114,114,1,Hamilton,CAN,1995-01-12,ON,,,108.0,4.0,2013.0,20152016,19,0,80,N,Harpur,CAN,8477433,1,D,L,Ben Harpur,235
115,115,115,5,Karlstad,SWE,1999-08-25,,OTT,Ottawa Senators,63.0,3.0,2017.0,20212022,14,3,71,N,Zetterlund,SWE,8480188,8,L,R,Fabian Zetterlund,208
116,116,116,0,Novosibirsk,RUS,2000-06-24,,,,15.0,1.0,2018.0,20202021,1,0,71,N,Denisenko,RUS,8480844,0,L,R,Grigori Denisenko,198
117,117,117,0,Stockholm,SWE,1996-09-20,,UTA,Utah Mammoth,58.0,2.0,2015.0,20182019,3,0,75,N,Stenlund,SWE,8478831,0,C,R,Kevin Stenlund,213
118,118,118,5,Bloomfield Hills,USA,1992-05-29,MI,BOS,Boston Bruins,,,,20142015,44,4,73,N,Brown,USA,8477887,9,C,R,Patrick Brown,217
119,119,119,58,Vancouver,CAN,1994-03-09,BC,TOR,Toronto Maple Leafs,5.0,1.0,2012.0,20132014,82,10,73,N,Rielly,CAN,8476853,68,D,L,Morgan Rielly,219
120,120,120,31,Nizhnekamsk,RUS,1998-06-25,,UTA,Utah Mammoth,9.0,1.0,2016.0,20162017,78,7,75,N,Sergachev,RUS,8479410,38,D,L,Mikhail Sergachev,212
121,121,121,8,Riga,LVA,1994-01-05,,TBL,Tampa Bay Lightning,14.0,1.0,2012.0,20132014,56,10,75,N,Girgensons,LVA,8476878,18,C,L,Zemgus Girgensons,197
122,122,122,11,Stockholm,SWE,1992-11-23,,COL,Colorado Avalanche,2.0,1.0,2011.0,20132014,20,11,73,N,Landeskog,SWE,8476455,22,L,L,Gabriel Landeskog,215
123,123,123,1,Siilinjarvi,FIN,1998-09-02,,FLA,Florida Panthers,42.0,2.0,2017.0,20212022,10,1,75,N,Luostarinen,FIN,8480185,2,C,L,Eetu Luostarinen,191
124,124,124,3,Bojnice,SVK,1986-06-08,,,,71.0,3.0,2004.0,20062007,32,1,72,N,Sekera,SVK,8471284,4,D,L,Andrej Sekera,200
125,125,125,5,Lidkoping,SWE,1999-07-19,,,,132.0,5.0,2017.0,20212022,68,12,73,N,Peterson,SWE,8480216,17,C,L,Jacob Peterson,180
126,126,126,16,Edmonton,CAN,1989-10-06,AB,,,26.0,1.0,2008.0,20092010,57,8,69,N,Ennis,CAN,8474589,24,R,L,Tyler Ennis,160
127,127,127,3,Helsinki,FIN,1997-08-06,,,,23.0,1.0,2016.0,20172018,52,4,75,N,Borgstrom,FIN,8479404,7,C,L,Henrik Borgstrom,199
128,128,128,3,Port Moody,CAN,2002-10-18,BC,CBJ,Columbus Blue Jackets,5.0,1.0,2021.0,20212022,9,0,72,N,Johnson,CAN,8482660,3,C,L,Kent Johnson,170
129,129,129,1,Lipetsk,RUS,1990-10-29,,FLA,Florida Panthers,14.0,1.0,2009.0,20112012,2,0,73,N,Kulikov,RUS,8475179,1,D,L,Dmitry Kulikov,212
130,130,130,20,Massapequa,USA,1996-05-12,NY,WSH,Washington Capitals,16.0,1.0,2014.0,20152016,66,14,72,N,Milano,USA,8477947,34,L,L,Sonny Milano,205
131,131,131,4,Pisek,CZE,1990-07-29,,,,,,,20182019,17,1,75,N,Rutta,CZE,8480172,5,D,R,Jan Rutta,204
132,132,132,2,Newport Beach,USA,1992-01-16,CA,BUF,Buffalo Sabres,59.0,2.0,2010.0,20122013,5,0,71,N,Zucker,USA,8475722,2,L,L,Jason Zucker,198
133,133,133,24,Toronto,CAN,1993-07-28,ON,FLA,Florida Panthers,,,,20152016,82,19,71,N,Rodrigues,CAN,8478542,43,C,R,Evan Rodrigues,182
134,134,134,7,Rauma,FIN,1997-07-26,,CAR,Carolina Hurricanes,35.0,2.0,2015.0,20182019,14,4,72,N,Aho,FIN,8478427,11,C,L,Sebastian Aho,189
135,135,135,5,Dearborn,USA,1996-05-15,MI,TOR,Toronto Maple Leafs,128.0,5.0,2014.0,20202021,30,3,75,N,Joshua,USA,8478057,8,C,L,Dakota Joshua,218
136,136,136,23,Regina,CAN,1990-05-15,SK,SEA,Seattle Kraken,22.0,1.0,2008.0,20102011,79,21,71,N,Eberle,CAN,8474586,44,R,R,Jordan Eberle,180
137,137,137,3,Quebec City,CAN,1996-10-08,QC,MTL,Montréal Canadiens,115.0,4.0,2015.0,20202021,4,0,71,N,Carrier,CAN,8478851,3,D,R,Alexandre Carrier,174
138,138,138,4,Vancouver,CAN,1991-08-02,BC,VAN,Vancouver Canucks,4.0,1.0,2009.0,20172018,15,13,74,N,Kane,CAN,8475169,17,L,L,Evander Kane,218
139,139,139,0,Apple Valley,USA,1995-07-28,MN,CBJ,Columbus Blue Jackets,118.0,4.0,2013.0,20152016,11,0,75,N,Fasching,USA,8477392,0,R,R,Hudson Fasching,214
140,140,140,10,Staten Island,USA,1994-08-10,NY,CBJ,Columbus Blue Jackets,,,,20172018,69,5,73,N,Aston-Reese,USA,8479944,15,C,L,Zach Aston-Reese,203
141,141,141,0,Newmarket,CAN,1993-04-20,ON,,,81.0,3.0,2013.0,20152016,2,0,78,N,Gabriel,CAN,8476545,0,R,R,Kurtis Gabriel,212
142,142,142,2,Spokane,USA,1986-12-29,WA,,,,,,20182019,15,1,70,N,Ryan,USA,8478585,3,C,R,Derek Ryan,185
143,143,143,0,Ostervala,SWE,1994-08-13,,NSH,Nashville Predators,11.0,1.0,2012.0,20142015,4,1,73,N,Forsberg,SWE,8476887,1,L,R,Filip Forsberg,205
144,144,144,11,Aurora,CAN,1999-05-14,ON,CGY,Calgary Flames,27.0,1.0,2017.0,20192020,55,5,72,N,Frost,CAN,8480028,16,C,L,Morgan Frost,193
145,145,145,30,Bowmanville,CAN,1989-10-02,ON,,,9.0,1.0,2008.0,20082009,74,14,73,N,Bailey,CAN,8474573,44,R,L,Josh Bailey,200
146,146,146,10,Brockville,CAN,1993-04-20,ON,VGK,Vegas Golden Knights,147.0,5.0,2012.0,20152016,58,3,75,N,Hutton,CAN,8477018,13,D,L,Ben Hutton,209
147,147,147,18,Moscow,RUS,1995-04-16,,BOS,Boston Bruins,16.0,1.0,2013.0,20132014,74,4,79,N,Zadorov,RUS,8477507,22,D,L,Nikita Zadorov,255
148,148,148,3,Northbrook,USA,1995-04-08,IL,DET,Detroit Red Wings,35.0,2.0,2013.0,20172018,20,5,72,N,Compher,USA,8477456,8,L,R,J.T. Compher,191
